Date,LST_Celsius,ZoneID,ZoneName
20/04/2001,31.49,Z01,Colombo North
21/04/2001,30.42,Z01,Colombo North
22/04/2001,34.66,Z01,Colombo North
24/04/2001,32.22,Z01,Colombo North
01/05/2001,33.68,Z01,Colombo North
04/05/2001,31.28,Z01,Colombo North
05/05/2001,30.16,Z01,Colombo North
06/05/2001,31.44,Z01,Colombo North
13/05/2001,29.88,Z01,Colombo North
15/05/2001,29.82,Z01,Colombo North
21/05/2001,26.93,Z01,Colombo North
22/05/2001,33.41,Z01,Colombo North
08/06/2001,26.93,Z01,Colombo North
09/06/2001,32.71,Z01,Colombo North
04/07/2001,31.51,Z01,Colombo North
05/07/2001,26.55,Z01,Colombo North
06/07/2001,31.50,Z01,Colombo North
13/07/2001,34.35,Z01,Colombo North
14/07/2001,30.97,Z01,Colombo North
15/07/2001,28.47,Z01,Colombo North
22/07/2001,28.36,Z01,Colombo North
12/08/2001,31.93,Z01,Colombo North
14/08/2001,32.68,Z01,Colombo North
15/08/2001,26.81,Z01,Colombo North
16/08/2001,29.79,Z01,Colombo North
18/08/2001,27.57,Z01,Colombo North
21/08/2001,29.02,Z01,Colombo North
06/09/2001,37.72,Z01,Colombo North
07/09/2001,29.80,Z01,Colombo North
08/09/2001,34.31,Z01,Colombo North
09/09/2001,30.47,Z01,Colombo North
10/09/2001,33.21,Z01,Colombo North
11/09/2001,33.48,Z01,Colombo North
12/09/2001,29.21,Z01,Colombo North
13/09/2001,36.08,Z01,Colombo North
15/09/2001,38.64,Z01,Colombo North
06/10/2001,32.92,Z01,Colombo North
08/10/2001,33.90,Z01,Colombo North
10/10/2001,33.40,Z01,Colombo North
13/10/2001,30.54,Z01,Colombo North
19/10/2001,29.19,Z01,Colombo North
22/10/2001,28.33,Z01,Colombo North
28/10/2001,32.05,Z01,Colombo North
29/10/2001,31.35,Z01,Colombo North
02/11/2001,32.93,Z01,Colombo North
07/11/2001,30.27,Z01,Colombo North
11/11/2001,34.35,Z01,Colombo North
13/11/2001,28.15,Z01,Colombo North
14/11/2001,31.67,Z01,Colombo North
20/11/2001,31.04,Z01,Colombo North
21/11/2001,25.41,Z01,Colombo North
25/11/2001,26.97,Z01,Colombo North
26/11/2001,27.35,Z01,Colombo North
27/11/2001,31.70,Z01,Colombo North
28/11/2001,30.03,Z01,Colombo North
29/11/2001,30.82,Z01,Colombo North
30/11/2001,32.35,Z01,Colombo North
02/12/2001,33.02,Z01,Colombo North
04/12/2001,31.74,Z01,Colombo North
05/12/2001,30.05,Z01,Colombo North
07/12/2001,29.79,Z01,Colombo North
08/12/2001,28.59,Z01,Colombo North
09/12/2001,33.04,Z01,Colombo North
11/12/2001,31.12,Z01,Colombo North
12/12/2001,27.34,Z01,Colombo North
13/12/2001,33.02,Z01,Colombo North
15/12/2001,32.03,Z01,Colombo North
16/12/2001,32.53,Z01,Colombo North
17/12/2001,30.40,Z01,Colombo North
23/12/2001,29.12,Z01,Colombo North
24/12/2001,30.76,Z01,Colombo North
25/12/2001,28.95,Z01,Colombo North
27/12/2001,30.25,Z01,Colombo North
28/12/2001,27.67,Z01,Colombo North
29/12/2001,32.96,Z01,Colombo North
01/01/2002,30.39,Z01,Colombo North
03/01/2002,27.85,Z01,Colombo North
06/01/2002,29.53,Z01,Colombo North
07/01/2002,30.21,Z01,Colombo North
08/01/2002,28.86,Z01,Colombo North
10/01/2002,31.10,Z01,Colombo North
13/01/2002,26.87,Z01,Colombo North
14/01/2002,24.11,Z01,Colombo North
16/01/2002,31.52,Z01,Colombo North
17/01/2002,30.91,Z01,Colombo North
18/01/2002,28.88,Z01,Colombo North
21/01/2002,29.86,Z01,Colombo North
22/01/2002,30.63,Z01,Colombo North
28/01/2002,32.78,Z01,Colombo North
30/01/2002,33.83,Z01,Colombo North
02/02/2002,29.97,Z01,Colombo North
04/02/2002,32.78,Z01,Colombo North
06/02/2002,35.18,Z01,Colombo North
07/02/2002,28.32,Z01,Colombo North
08/02/2002,33.08,Z01,Colombo North
09/02/2002,31.00,Z01,Colombo North
10/02/2002,32.03,Z01,Colombo North
14/02/2002,29.73,Z01,Colombo North
15/02/2002,28.83,Z01,Colombo North
17/02/2002,33.71,Z01,Colombo North
18/02/2002,34.47,Z01,Colombo North
20/02/2002,26.74,Z01,Colombo North
22/02/2002,35.18,Z01,Colombo North
23/02/2002,32.37,Z01,Colombo North
24/02/2002,34.53,Z01,Colombo North
25/02/2002,33.34,Z01,Colombo North
26/02/2002,30.44,Z01,Colombo North
27/02/2002,35.50,Z01,Colombo North
01/03/2002,34.01,Z01,Colombo North
03/03/2002,36.39,Z01,Colombo North
04/03/2002,28.72,Z01,Colombo North
08/03/2002,32.34,Z01,Colombo North
10/03/2002,36.36,Z01,Colombo North
11/03/2002,32.34,Z01,Colombo North
12/03/2002,32.88,Z01,Colombo North
13/03/2002,32.77,Z01,Colombo North
15/03/2002,33.42,Z01,Colombo North
17/03/2002,33.17,Z01,Colombo North
18/03/2002,28.29,Z01,Colombo North
29/03/2002,34.22,Z01,Colombo North
31/03/2002,35.21,Z01,Colombo North
03/04/2002,29.08,Z01,Colombo North
04/04/2002,30.98,Z01,Colombo North
06/04/2002,30.18,Z01,Colombo North
09/04/2002,33.56,Z01,Colombo North
11/04/2002,35.63,Z01,Colombo North
13/04/2002,23.69,Z01,Colombo North
14/04/2002,32.33,Z01,Colombo North
20/04/2002,33.64,Z01,Colombo North
24/04/2002,28.52,Z01,Colombo North
28/04/2002,33.90,Z01,Colombo North
29/04/2002,33.07,Z01,Colombo North
08/05/2002,30.54,Z01,Colombo North
