Date,NDVI,ZoneID,ZoneName
18/02/2006,0.413294348,Z01,Colombo North
06/03/2006,0.438994223,Z01,Colombo North
22/03/2006,0.387453128,Z01,Colombo North
07/04/2006,0.387419484,Z01,Colombo North
23/04/2006,0.454397138,Z01,Colombo North
09/05/2006,0.386008666,Z01,Colombo North
25/05/2006,0.299231684,Z01,Colombo North
10/06/2006,0.428346694,Z01,Colombo North
26/06/2006,0.350239348,Z01,Colombo North
12/07/2006,0.289649623,Z01,Colombo North
28/07/2006,0.474930824,Z01,Colombo North
13/08/2006,0.378432026,Z01,Colombo North
29/08/2006,0.362846407,Z01,Colombo North
14/09/2006,0.379029225,Z01,Colombo North
30/09/2006,0.414500814,Z01,Colombo North
16/10/2006,0.358147657,Z01,Colombo North
01/11/2006,0.444282774,Z01,Colombo North
17/11/2006,0.26886011,Z01,Colombo North
03/12/2006,0.432749929,Z01,Colombo North
19/12/2006,0.426552862,Z01,Colombo North
01/01/2007,0.429209572,Z01,Colombo North
17/01/2007,0.439500214,Z01,Colombo North
02/02/2007,0.422470332,Z01,Colombo North
18/02/2007,0.405694101,Z01,Colombo North
06/03/2007,0.458987695,Z01,Colombo North
22/03/2007,0.427908889,Z01,Colombo North
07/04/2007,0.388412059,Z01,Colombo North
23/04/2007,0.397609181,Z01,Colombo North
09/05/2007,0.435666946,Z01,Colombo North
25/05/2007,0.419307423,Z01,Colombo North
10/06/2007,0.339712192,Z01,Colombo North
26/06/2007,0.4064154,Z01,Colombo North
12/07/2007,0.191745745,Z01,Colombo North
28/07/2007,0.282962673,Z01,Colombo North
13/08/2007,0.293843527,Z01,Colombo North
29/08/2007,0.296616304,Z01,Colombo North
14/09/2007,0.362197866,Z01,Colombo North
30/09/2007,0.421829732,Z01,Colombo North
16/10/2007,0.424364385,Z01,Colombo North
01/11/2007,0.465972711,Z01,Colombo North
17/11/2007,0.390919319,Z01,Colombo North
03/12/2007,0.424247601,Z01,Colombo North
19/12/2007,0.461705249,Z01,Colombo North
01/01/2008,0.421930204,Z01,Colombo North
17/01/2008,0.480070255,Z01,Colombo North
02/02/2008,0.431231136,Z01,Colombo North
18/02/2008,0.411269426,Z01,Colombo North
05/03/2008,0.402247771,Z01,Colombo North
21/03/2008,0.357494267,Z01,Colombo North
