Date,LST_Celsius,ZoneID,ZoneName
25/05/2003,30.01,Z01,Colombo North
02/06/2003,30.88,Z01,Colombo North
10/06/2003,30.05,Z01,Colombo North
18/06/2003,27.16,Z01,Colombo North
04/07/2003,30.56,Z01,Colombo North
12/07/2003,31.2,Z01,Colombo North
20/07/2003,30.05,Z01,Colombo North
28/07/2003,31.64,Z01,Colombo North
21/08/2003,29.79,Z01,Colombo North
29/08/2003,31.57,Z01,Colombo North
06/09/2003,30.12,Z01,Colombo North
14/09/2003,31.91,Z01,Colombo North
22/09/2003,30.58,Z01,Colombo North
30/09/2003,30.55,Z01,Colombo North
08/10/2003,30.98,Z01,Colombo North
16/10/2003,32.39,Z01,Colombo North
24/10/2003,31.51,Z01,Colombo North
01/11/2003,31.87,Z01,Colombo North
09/11/2003,31.62,Z01,Colombo North
17/11/2003,32.51,Z01,Colombo North
25/11/2003,32.1,Z01,Colombo North
03/12/2003,30.19,Z01,Colombo North
11/12/2003,27.22,Z01,Colombo North
19/12/2003,29.34,Z01,Colombo North
27/12/2003,30.25,Z01,Colombo North
01/01/2004,31.81,Z01,Colombo North
09/01/2004,31.04,Z01,Colombo North
17/01/2004,30.37,Z01,Colombo North
25/01/2004,29.62,Z01,Colombo North
02/02/2004,31.02,Z01,Colombo North
10/02/2004,33.18,Z01,Colombo North
18/02/2004,31.52,Z01,Colombo North
26/02/2004,35.32,Z01,Colombo North
05/03/2004,32.65,Z01,Colombo North
13/03/2004,32.53,Z01,Colombo North
21/03/2004,32.37,Z01,Colombo North
29/03/2004,33.86,Z01,Colombo North
06/04/2004,34.52,Z01,Colombo North
14/04/2004,29.3,Z01,Colombo North
22/04/2004,33.56,Z01,Colombo North
30/04/2004,32.43,Z01,Colombo North
08/05/2004,34.53,Z01,Colombo North
16/05/2004,30.59,Z01,Colombo North
01/06/2004,29.92,Z01,Colombo North
09/06/2004,30.7,Z01,Colombo North
17/06/2004,29.59,Z01,Colombo North
25/06/2004,32.48,Z01,Colombo North
03/07/2004,25.23,Z01,Colombo North
11/07/2004,31.53,Z01,Colombo North
19/07/2004,30.2,Z01,Colombo North
27/07/2004,29.72,Z01,Colombo North
04/08/2004,28.66,Z01,Colombo North
12/08/2004,29.56,Z01,Colombo North
20/08/2004,32.45,Z01,Colombo North
28/08/2004,31.66,Z01,Colombo North
13/09/2004,27.13,Z01,Colombo North
29/09/2004,28.27,Z01,Colombo North
07/10/2004,30.25,Z01,Colombo North
15/10/2004,29.93,Z01,Colombo North
23/10/2004,31.95,Z01,Colombo North
31/10/2004,34.8,Z01,Colombo North
08/11/2004,30.37,Z01,Colombo North
16/11/2004,29.78,Z01,Colombo North
24/11/2004,30.67,Z01,Colombo North
02/12/2004,28.33,Z01,Colombo North
18/12/2004,31.21,Z01,Colombo North
26/12/2004,30.29,Z01,Colombo North
01/01/2005,31.13,Z01,Colombo North
09/01/2005,31.06,Z01,Colombo North
17/01/2005,30.57,Z01,Colombo North
25/01/2005,30.56,Z01,Colombo North
02/02/2005,32.2,Z01,Colombo North
10/02/2005,33.33,Z01,Colombo North
18/02/2005,32.67,Z01,Colombo North
26/02/2005,33.5,Z01,Colombo North
06/03/2005,31.87,Z01,Colombo North
14/03/2005,32.31,Z01,Colombo North
22/03/2005,31.88,Z01,Colombo North
30/03/2005,33.71,Z01,Colombo North
07/04/2005,31.91,Z01,Colombo North
15/04/2005,31.95,Z01,Colombo North
23/04/2005,31.32,Z01,Colombo North
01/05/2005,32.28,Z01,Colombo North
